Plate.ID,mat,geno,inc,rep,n,germ.1,germ.2,germ.3,germ.4,germ.5,germ.6,germ.7,germ.10
190,sl,fd,sd,4,20,0,0,6,12,16,17,18,18
191,sl,fd,sd,5,20,0,0,5,7,10,14,17,19
192,sl,fd,sd,6,20,0,1,9,10,13,17,15,19
193,sl,soc1,ld,1,20,0,0,7,10,12,13,13,13
194,sl,soc1,ld,2,20,0,1,5,5,6,9,6,6
195,sl,soc1,ld,3,20,0,4,13,16,16,16,16,16
196,sl,soc1,ld,4,20,0,1,15,16,15,16,17,17
197,sl,soc1,ld,5,20,0,8,11,12,15,17,18,18
198,sl,soc1,ld,6,20,0,3,7,10,11,11,13,13
199,sl,soc1,sd,1,20,0,1,9,12,13,13,13,13
200,sl,soc1,sd,2,20,0,1,7,7,9,9,9,9
201,sl,soc1,sd,3,20,0,0,14,18,18,19,19,20
202,sl,soc1,sd,4,20,0,4,17,17,17,17,17,17
203,sl,soc1,sd,5,20,0,0,7,13,14,16,16,16
204,sl,soc1,sd,6,20,0,0,12,17,18,18,18,17
205,sl,ap1,ld,1,21,0,0,3,5,6,9,10,11
206,sl,ap1,ld,2,20,0,3,14,17,17,17,17,15
207,sl,ap1,ld,3,18,0,0,3,7,7,9,8,9
208,sl,ap1,ld,4,20,0,3,12,13,15,15,15,15
209,sl,ap1,ld,5,20,0,0,8,11,12,15,15,16
210,sl,ap1,ld,6,19,0,2,3,11,9,11,12,13
211,sl,ap1,sd,1,20,0,0,2,4,4,7,8,9
212,sl,ap1,sd,2,20,0,1,14,19,20,20,20,20
213,sl,ap1,sd,3,20,0,0,0,5,8,10,10,12
214,sl,ap1,sd,4,21,0,0,8,13,13,4,15,16
215,sl,ap1,sd,5,20,0,0,10,16,17,18,17,17
216,sl,ap1,sd,6,20,0,0,6,11,13,15,16,18
